"Year Month","State","Countym","Industry","Suspicious Activity","Count"
"2020 January","South Dakota","Aurora County, SD","Depository Institution","Elder Financial Exploitation","1"
"2020 January","South Dakota","Aurora County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Other Money Laundering","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Suspicious EFT/Wire Transfers","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Suspicious Use of Informal Value Transfer System","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Suspicious Use of Multiple Accounts","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Suspicious Use of Noncash Monetary Instruments","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Transaction(s) Below BSA Recordkeeping Threshold","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Transaction(s) Involving Foreign High Risk Jurisdiction","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","Unlicensed or Unregistered MSB","1"
"2020 January","South Dakota","Beadle County, SD","Depository Institution","[Total]","13"
"2020 January","South Dakota","Bon Homme County, SD","Depository Institution","Elder Financial Exploitation","1"
"2020 January","South Dakota","Bon Homme County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Account Takeover","4"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","ACH","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Check","3"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Counterfeit Instrument","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Credit/Debit Card","16"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Elder Financial Exploitation","2"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Forgeries","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Identity Theft","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Other Fraud (Type)","10"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Other Money Laundering","2"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Suspicion Concerning the Source of Funds","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Suspicious EFT/Wire Transfers","2"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Suspicious Use of Multiple Accounts","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Suspicious use of multiple transaction locations","2"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","13"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","2"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Transaction(s) Below CTR Threshold","3"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Brookings County, SD","Depository Institution","[Total]","67"
"2020 January","South Dakota","Brown County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Brown County, SD","Depository Institution","Suspicion Concerning the Source of Funds","2"
"2020 January","South Dakota","Brown County, SD","Depository Institution","Suspicious Use of Multiple Accounts","1"
"2020 January","South Dakota","Brown County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","South Dakota","Brown County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","2"
"2020 January","South Dakota","Brown County, SD","Depository Institution","Transaction(s) Below CTR Threshold","3"
"2020 January","South Dakota","Brown County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Brown County, SD","Depository Institution","[Total]","11"
"2020 January","South Dakota","Brule County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Brule County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Butte County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Butte County, SD","Depository Institution","Consumer Loan (see instructions)","1"
"2020 January","South Dakota","Butte County, SD","Depository Institution","Forgeries","1"
"2020 January","South Dakota","Butte County, SD","Depository Institution","Identity Theft","1"
"2020 January","South Dakota","Butte County, SD","Depository Institution","Mail","1"
"2020 January","South Dakota","Butte County, SD","Depository Institution","Provided Questionable or False Documentation","1"
"2020 January","South Dakota","Butte County, SD","Depository Institution","[Total]","6"
"2020 January","South Dakota","Clay County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","South Dakota","Clay County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 January","South Dakota","Clay County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Clay County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Clay County, SD","Depository Institution","[Total]","4"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Elder Financial Exploitation","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Identity Theft","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Mail","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Other Fraud (Type)","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Other Other Suspicious Activities","3"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Suspicious use of multiple transaction locations","3"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","Two or More Individuals Working Together","1"
"2020 January","South Dakota","Codington County, SD","Depository Institution","[Total]","15"
"2020 January","South Dakota","Custer County, SD","Depository Institution","Transaction(s) Below CTR Threshold","1"
"2020 January","South Dakota","Custer County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Davison County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Davison County, SD","Depository Institution","Identity Theft","1"
"2020 January","South Dakota","Davison County, SD","Depository Institution","Provided Questionable or False Documentation","1"
"2020 January","South Dakota","Davison County, SD","Depository Institution","[Total]","3"
"2020 January","South Dakota","Deuel County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
"2020 January","South Dakota","Deuel County, SD","Depository Institution","Transaction Out of Pattern for Customer(s)","1"
"2020 January","South Dakota","Deuel County, SD","Depository Institution","[Total]","2"
"2020 January","South Dakota","Dewey County, SD","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","South Dakota","Dewey County, SD","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","1"
"2020 January","South Dakota","Dewey County, SD","Depository Institution","[Total]","2"
"2020 January","South Dakota","Douglas County, SD","Depository Institution","Other Other Suspicious Activities","1"
"2020 January","South Dakota","Douglas County, SD","Depository Institution","[Total]","1"
"2020 January","South Dakota","Fall River County, SD","Depository Institution","Transaction(s) Below CTR Threshold","2"
"2020 January","South Dakota","Fall River County, SD","Depository Institution","[Total]","2"
"2020 January","South Dakota","Grant County, SD","Depository Institution","Check","1"
"2020 January","South Dakota","Grant County, SD","Depository Institution","Suspicious use of multiple transaction locations","1"
